Question,Answer
"What is the name of the HOD / Chairman / Chairperson in Computer Science (CS)?","Professor Dr. Imtiaz Brohi, serving as the Head of the Department of Computer Science, is a highly distinguished academic and an expert in the field."
"What is the name of the HOD / Chairman / Chairperson in Urdu (UR)?","Dr. Hassan Rashid, the Head of the Department of Urdu, is recognized for his deep scholarly contributions to Urdu literature."
"What is the name of the HOD / Chairman / Chairperson in English (ENG)?","Dr. Niaz Hussain Soomro, Chairperson of the Department of English, is a prominent figure in English literature and linguistic studies."
"What is the name of the HOD / Chairman / Chairperson in Education (EDU)?","Professor Dr. Amjad Ali Arain, Head of the Department of Education, brings extensive experience and research expertise in educational sciences."
"What is the name of the HOD / Chairman / Chairperson in Botany (BOT)?","Dr. Altaf Ahmed Simair, Chair of the Department of Botany, is known for his groundbreaking research in plant sciences."
"What is the name of the HOD / Chairman / Chairperson in Information Technology (IT)?","Professor Dr. Imtiaz Brohi, serving as the Head of the Department of Information Technology, is highly regarded for his expertise in IT and academic leadership."
"What is the name of the HOD / Chairman / Chairperson in Political Science (PS)?","Dr. Abdul Razzak Larik, Head of the Department of Political Science, is a well-respected academic with profound knowledge in political theory and governance."
"What is the name of the HOD / Chairman / Chairperson in Microbiology (MB)?","Professor Dr. Abdul Manan Shaikh, Chairperson of the Department of Microbiology, is an eminent authority in microbiological research and studies."
"What is the name of the HOD / Chairman / Chairperson in Zoology (Zoo)?","Professor Dr. Abdul Manan Shaikh, Head of the Department of Zoology, is an esteemed academic specializing in zoological sciences."
"What is the name of the HOD / Chairman / Chairperson in Chemistry (CHEM)?","Dr. Asif Ali Bhatti, Chairperson of the Department of Chemistry, is a prominent scholar recognized for his research in chemical sciences."
"What is the name of the HOD / Chairman / Chairperson in Physics (PHY)?","Dr. M. Najam Shaikh, Chairperson of the Department of Physics, is a highly respected physicist with significant contributions to the field of physical sciences."
"What is the name of the HOD / Chairman / Chairperson in Islamic Studies (IS/ISL)?","Dr. Makhdoom Roshan Siddiqui, Head of the Department of Islamic Studies, is a distinguished scholar with a deep understanding of Islamic teachings and jurisprudence."
"What is the name of the HOD / Chairman / Chairperson in Sindhi (SIN)?","Dr. Shafique Ahmed Shahani, Chairperson of the Department of Sindhi, is a highly regarded expert in Sindhi literature and linguistics."
"What is the name of the HOD / Chairman / Chairperson in Mathematics (MATH)?","Dr. Kamran Malik, Head of the Department of Mathematics, is known for his advanced research in mathematical sciences."
"What is the name of the HOD / Chairman / Chairperson in BBA (Business Administration)?","Dr. Agha Ahmed Nabi, Chairperson of the Business Administration Department, is a leading academic with vast experience in business and management studies."
"Who is the Associate Professor in Computer Science (CS)?","Mr. Tariq Hussain Jalbani, serving as an Associate Professor in the Department of Computer Science, is recognized for his contributions to the field of computer science."
"Who is the Assistant Professor in Computer Science (CS)?","Mr. Syed Sohail Ahmed Shah, Mr. Salman Qazi, and Dr. Dodo Khan serve as Assistant Professors in the Department of Computer Science, each bringing specialized knowledge and expertise."
"Who are the lecturers in Computer Science (CS)?","The lecturers in the Department of Computer Science include Mr. Muhammed Irfan Baloch, Mr. Syed Abrar Ali Shah, Mr. Zeeshan Ahmed Mughal, Mr. Akhtar Hussain Soomro, Engr. Mazhar Basheer Arain, Mr. Masroor Ahmed Nizamani, Engr. Mahaveer Rathi, Miss Komal Naz, Dr. Mujeeb-Ur-Rehman Jamali, and Mr. Allah Bachayo, all of whom contribute significantly to the department's academic offerings."
"Who is the Teaching Assistant in Computer Science (CS)?","Miss Pooja Kumari, Ms. Mehak Ali, Mr. Faizan Ali, and Mr. Muhammed Haibatullah Channa serve as Teaching Assistants in the Department of Computer Science, assisting in instructional and lab sessions."
"Who is the Lab Assistant in Computer Science (CS)?","Mr. Muhammed Bux, Miss Sana Shaikh, Mr. Gul Hassan, and Mr. Shahzaib Raza are Lab Assistants in the Department of Computer Science, providing technical support for laboratory activities."
"Who is the Lab Attendant in Computer Science (CS)?","Mr. Jarar Hussain serves as the Lab Attendant in the Department of Computer Science, ensuring the proper functioning of laboratory facilities."
"Who is the Lecturer in the Urdu (UR) dept / department?","Mrs. Rukhsana Jaffar serves as a Lecturer in the Department of Urdu, contributing to the department's academic initiatives and literary studies."
"Who is the Associate Professor in the English (ENG) dept / department?","Dr. Niaz Hussain Soomro and Dr. Zahid Ali, both Associate Professors in the Department of English, are highly respected for their scholarship in English literature and linguistics."
"Who are the lecturers in the English (ENG) dept / department?","The lecturers in the Department of English include Mr. Abdul Sattar Laghari, Mr. Pervaiz Solangi, Mr. Pervaiz Ali Bughio, Ms. Benazir Larik, and Ms. Aisha Faryal, all of whom bring their expertise in language and literature studies."
"Who is the Assistant Professor in the Education (EDU) dept / department?","Dr. Kamal Soomro and Dr. Abdul Nabi Gorchani, both serving as Assistant Professors in the Department of Education, have made significant contributions to the field of educational sciences."
"Who are the lecturers in the Education (EDU) dept / department?","The lecturers in the Department of Education include Mr. Masood Ahmed Siddiqui, Ms. Sanam Memon, and Ms. Sayeda Sumbul Shah, all of whom are dedicated educators with a focus on developing educational methodologies."
"Who is the Professor in the Botany (BOT) dept / department?","Dr. Altaf Ahmed Simair, Professor in the Department of Botany, is a renowned academic with expertise in plant biology and research."
"Who is the Lecturer in the Botany (BOT) dept / department?","Mr. Muhammed Aqil serves as a Lecturer in the Department of Botany, contributing to teaching and research in the field of plant sciences."
"Who is the Professor in Information Technology (IT)?","Professor Dr. Imtiaz Brohi, serving as Professor in the Department of Information Technology, is a leading expert in IT research and academics."
"Who are the Assistant Professors in Information Technology (IT)?","Dr. Sheeba Memon, Engr. Dr. Allah Rakhio Junejo"
"Who are the lecturers in Information Technology (IT)?","Engr. Naeem Ahmed, Mr. Ahmed Asgar, Miss Ufaque Shaikh, Mr. Muhammed Wasim, Miss Iqra Kanwal Lakho, Ms. Madiha, Mr. Hakim Ali Junejo, Mr. Zulfiqar Gul Shaikh, Mr. Amjad Khowaja"
"Who are the Teaching Assistants in Information Technology (IT)?","Miss Quratulain Laghari, Mr. Waqar Ali Soomro, Miss Fariha Shahid, Mr. Khalil Ahmed, Mr. Iqrar Ali Shah"
"Who is the Chairman of the Political Science (PS) dept / department?","Dr. Abdul Razzak Larik, a highly respected academic leader, serves as the Chairman of the Political Science Department."
"Who are the lecturers in the Political Science (PS) dept / department?","Mr. Jamshed Ali Shah"
"Who is the Lecturer in Microbiology (MB)?","Mr. Asim Patrick, Mr. Abdul Sami Dahiri"
"Who is the Senior Lab Assistant in Zoology (Zoo)?","Mr. Zaheed-Ud-Din"
"Who is the Lab Assistant in Zoology (Zoo)?","Mr. Badruddin Bhatti, Mr. Muhammed Arif"
"Who is the Associate Professor in Chemistry (CHEM) dept / department?","Dr. Naseem-Ul-Ghani Qureshi, a distinguished scholar in Chemistry."
"Who are the lecturers in the Chemistry (CHEM) dept / department?","Dr. Mazhar Iqbal Khaskheli, Dr. Asghar Ali"
"Who is the Teaching Assistant in the Chemistry (CHEM) dept / department?","Ms. Mahnoor Saleem, Miss Laiba"
"Who is the Assistant Professor in Mathematics (MATH)?","Dr. Barkat Ali Laghari, contributing significantly to the field of Mathematics."
"Who are the lecturers in the Business Administration (BBA) dept / department?","Mr. Abdul Sajid, Mr. Qadir Bakhsh Yasir, Mr. Muhammed Adnan"
"Who is the Chairman of the Islamic Studies (IS/ISL) dept / department?","Dr. Makhdoom Roshan Siddiqui, an esteemed academic, serves as the Chairperson of Islamic Studies."
"Who are the lecturers in Islamic Studies (IS/ISL)?","Mr. Hafeez-Ur-Rehman Rajput"
"Who is the Assistant Professor & Chairperson in Sindhi (SIN)?","Dr. Shafique Ahmed Shahani, a prominent scholar, holds the dual role of Assistant Professor and Chairperson."
"Who is the Associate Professor & Chairman in Mathematics (MATH)?","Dr. Kamran Malik, an experienced mathematician, leads the Mathematics Department."
"Who are the lecturers in Mathematics (MATH)?","Dr. M. Ilyas, Dr. Khalid Hussain"
"Who are the Teaching Assistants in Mathematic (MATH)?","Mr. Muhammed Saleem Laghari, Mr. Muhammed Ashraf Ali, Mr. Zohaib Soomro, Mr. Ritesh Walecha"
"Who is the Chairman & Associate Professor in Business Administration (BBA)?","Dr. Agha Ahmed Nabi, a recognized expert in Business Administration, serves as both Chairman and Associate Professor."
"Who are the lecturers in Business Administration (BBA)?","Mr. Dodo Khan Alias Khalid, Dr. Muhammed Shoaib Khan, Mr. Amanullah Parhyar, Mr. Ali Raza Zaidi, Ms. Hina Ahmed, Mr. Zubair Akbar Khan"
"How many / total / number of faculty members / staff are in the Computer Science (CS) dept / department?","The Computer Science Department comprises 15 faculty members: Prof. Dr. Imtiaz Brohi, Mr. Tariq Hussain Jalbani, Mr. Syed Sohail Ahmed Shah, Mr. Salman Qazi, Dr. Dodo Khan, Mr. Muhammed Irfan Baloch, Mr. Syed Abrar Ali Shah, Mr. Zeeshan Ahmed Mughal, Mr. Akhtar Hussain Soomro, Engr. Mazhar Basheer Arain, Mr. Masroor Ahmed Nizamani, Engr. Mahaveer Rathi, Miss Komal Naz, Dr. Mujeeb-Ur-Rehman Jamali, Mr. Allah Bachayo"
"What are the names of the Computer Science (CS) faculty members / staff?","Prof. Dr. Imtiaz Brohi, Mr. Tariq Hussain Jalbani, Mr. Syed Sohail Ahmed Shah, Mr. Salman Qazi, Dr. Dodo Khan, Mr. Muhammed Irfan Baloch, Mr. Syed Abrar Ali Shah, Mr. Zeeshan Ahmed Mughal, Mr. Akhtar Hussain Soomro, Engr. Mazhar Basheer Arain, Mr. Masroor Ahmed Nizamani, Engr. Mahaveer Rathi, Miss Komal Naz, Dr. Mujeeb-Ur-Rehman Jamali, Mr. Allah Bachayo"
"Who is the HOD / Chairman / Chairperson of the Computer Science (CS) dept / department?","Prof. Dr. Imtiaz Brohi, an accomplished academic, is the Head of the Computer Science Department."
"How many / total / number of assistant professors are in the Computer Science (CS) dept / department?","There are 3 Assistant Professors in the Computer Science Department: Mr. Syed Sohail Ahmed Shah, Mr. Salman Qazi, Dr. Dodo Khan"
"Who are the assistant professors in the Computer Science (CS) dept / department?","Mr. Syed Sohail Ahmed Shah, Mr. Salman Qazi, Dr. Dodo Khan"
"How many / total / number of faculty members / staff are in the Urdu (UR) dept / department?","The Urdu Department has a total of 3 faculty members: Dr. Hassan Rashid, Mrs. Rukhsana Jaffar"
